m_lastLapTime,m_currentLapTime,m_bestLapTime,m_sector1Time,m_sector2Time,m_lapDistance,m_totalDistance,m_safetyCarDelta,m_carPosition,m_currentLapNum,m_pitStatus,m_sector,m_currentLapInvalid,m_penalties,m_gridPosition,m_driverStatus
69.43756103515625,18.285112380981445,67.50927734375,16.962158203125,0,1315.625,40227,0,1,10,0,1,0,0,19,1,2
69.43756103515625,18.39805030822754,67.50927734375,16.962158203125,0,1323.3046875,40234.6796875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,18.49138641357422,67.50927734375,16.962158203125,0,1329.23828125,40240.61328125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,18.603315353393555,67.50927734375,16.962158203125,0,1335.921875,40247.296875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,18.695758819580078,67.50927734375,16.962158203125,0,1341.0625,40252.4375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,18.807104110717773,67.50927734375,16.962158203125,0,1346.8515625,40258.2265625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,18.900365829467773,67.50927734375,16.962158203125,0,1351.37109375,40262.74609375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,19.01317024230957,67.50927734375,16.962158203125,0,1356.48046875,40267.85546875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,19.105274200439453,67.50927734375,16.962158203125,0,1360.4140625,40271.7890625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,19.219562530517578,67.50927734375,16.962158203125,0,1364.875,40276.25,0,1,10,0,1,0,0,19,1,2
69.43756103515625,19.330982208251953,67.50927734375,16.962158203125,0,1368.9140625,40280.2890625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,19.424470901489258,67.50927734375,16.962158203125,0,1372.05078125,40283.42578125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,19.537124633789062,67.50927734375,16.962158203125,0,1375.5703125,40286.9453125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,19.6309871673584,67.50927734375,16.962158203125,0,1378.28515625,40289.66015625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,19.742759704589844,67.50927734375,16.962158203125,0,1381.28125,40292.65625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,19.837648391723633,67.50927734375,16.962158203125,0,1383.6484375,40295.0234375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,19.933347702026367,67.50927734375,16.962158203125,0,1385.8828125,40297.2578125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,20.030029296875,67.50927734375,16.962158203125,0,1387.98828125,40299.36328125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,20.14581298828125,67.50927734375,16.962158203125,0,1390.29296875,40301.66796875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,20.258512496948242,67.50927734375,16.962158203125,0,1392.5625,40303.9375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,20.35011100769043,67.50927734375,16.962158203125,0,1394.375,40305.75,0,1,10,0,1,0,0,19,1,2
69.43756103515625,20.45806121826172,67.50927734375,16.962158203125,0,1396.5859375,40307.9609375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,20.549266815185547,67.50927734375,16.962158203125,0,1398.54296875,40309.91796875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,20.659008026123047,67.50927734375,16.962158203125,0,1401.17578125,40312.55078125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,20.7685604095459,67.50927734375,16.962158203125,0,1404.4140625,40315.7890625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,20.87683868408203,67.50927734375,16.962158203125,0,1408.2734375,40319.6484375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,20.98566246032715,67.50927734375,16.962158203125,0,1411.27734375,40322.65234375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,21.0778865814209,67.50927734375,16.962158203125,0,1413.453125,40324.828125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,21.186073303222656,67.50927734375,16.962158203125,0,1415.796875,40327.171875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,21.29681396484375,67.50927734375,16.962158203125,0,1418.1171875,40329.4921875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,21.401710510253906,67.50927734375,16.962158203125,0,1420.35546875,40331.73046875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,21.508764266967773,67.50927734375,16.962158203125,0,1422.16015625,40333.53515625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,21.599857330322266,67.50927734375,16.962158203125,0,1423.75,40335.125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,21.708703994750977,67.50927734375,16.962158203125,0,1425.7265625,40337.1015625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,21.817760467529297,67.50927734375,16.962158203125,0,1427.8203125,40339.1953125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,21.9130802154541,67.50927734375,16.962158203125,0,1429.734375,40341.109375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,22.02067756652832,67.50927734375,16.962158203125,0,1432.015625,40343.390625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,22.13005828857422,67.50927734375,16.962158203125,0,1434.46484375,40345.83984375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,22.22102928161621,67.50927734375,16.962158203125,0,1436.6015625,40347.9765625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,22.331159591674805,67.50927734375,16.962158203125,0,1439.3203125,40350.6953125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,22.423686981201172,67.50927734375,16.962158203125,0,1441.68359375,40353.05859375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,22.535430908203125,67.50927734375,16.962158203125,0,1444.6953125,40356.0703125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,22.628286361694336,67.50927734375,16.962158203125,0,1447.265625,40358.640625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,22.73851776123047,67.50927734375,16.962158203125,0,1450.47265625,40361.84765625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,22.849098205566406,67.50927734375,16.962158203125,0,1453.828125,40365.203125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,22.941638946533203,67.50927734375,16.962158203125,0,1456.76953125,40368.14453125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,23.05213165283203,67.50927734375,16.962158203125,0,1460.4296875,40371.8046875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,23.162729263305664,67.50927734375,16.962158203125,0,1464.234375,40375.609375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,23.255964279174805,67.50927734375,16.962158203125,0,1467.578125,40378.953125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,23.36783218383789,67.50927734375,16.962158203125,0,1471.6328125,40383.0078125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,23.476802825927734,67.50927734375,16.962158203125,0,1475.87109375,40387.24609375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,23.589191436767578,67.50927734375,16.962158203125,0,1480.3515625,40391.7265625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,23.699979782104492,67.50927734375,16.962158203125,0,1484.94140625,40396.31640625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,23.79302406311035,67.50927734375,16.962158203125,0,1488.92578125,40400.30078125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,23.8863525390625,67.50927734375,16.962158203125,0,1493.0859375,40404.4609375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,24.001333236694336,67.50927734375,16.962158203125,0,1498.2890625,40409.6640625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,24.111047744750977,67.50927734375,16.962158203125,0,1503.453125,40414.828125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,24.204553604125977,67.50927734375,16.962158203125,0,1507.96875,40419.34375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,24.31753158569336,67.50927734375,16.962158203125,0,1513.5546875,40424.9296875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,24.41302490234375,67.50927734375,16.962158203125,0,1518.390625,40429.765625,0,1,10,0,1,0,0,19,1,2
