m_worldPositionX,m_worldPositionY,m_worldPositionZ,m_worldVelocityX,m_worldVelocityY,m_worldVelocityZ,m_worldForwardDirX,m_worldForwardDirY,m_worldForwardDirZ,m_worldRightDirX,m_worldRightDirY,m_worldRightDirZ,m_gForceLateral,m_gForceLongitudinal,m_gForceVertical,m_yaw,m_pitch
39.087623596191406,-29.075294494628906,-40.86491394042969,44.31520462036133,1.4334973096847534,-41.58298873901367,18779,7427,22182,46681,31230,18267,2.933969259262085,0.6243596076965332,-0.2538894712924957,2.3474996089935303,-0.00900280475616455,0.011936373077332973
44.644691467285156,-28.90518569946289,-46.41583251953125,42.14436340332031,1.3123507499694824,-44.760799407958984,34645,50946,53664,14687,59901,32853,2.9660847187042236,0.6809836030006409,0.14153937995433807,2.4097893238067627,-0.002335071563720703,0.016358355060219765
48.20548629760742,-28.787532806396484,-50.33646011352539,40.814292907714844,1.3541209697723389,-46.407928466796875,41298,31746,18846,48481,43519,42066,2.225823163986206,0.6681422591209412,-0.3060091435909271,2.4397623538970947,-0.010521531105041504,0.0026581373531371355
52.575042724609375,-28.65042495727539,-55.465091705322266,39.97998046875,1.3281141519546509,-47.9732551574707,55376,48898,53148,11875,47105,58192,0.8726538419723511,0.6821171045303345,0.9430058598518372,2.4576916694641113,-0.02398693561553955,-0.013438173569738865
56.21553039550781,-28.539670944213867,-59.81837844848633,40.41514587402344,1.1381397247314453,-47.88290023803711,594,21506,49821,12386,22019,2642,-1.078315258026123,0.2622009515762329,0.3444400429725647,2.4457521438598633,-0.03169453144073486,-0.026092620566487312
60.7279167175293,-28.407102584838867,-65.0169448852539,42.03714370727539,1.0610554218292236,-46.82337188720703,11606,48386,26529,38238,57857,14166,-2.1181981563568115,0.22063425183296204,-0.4975915551185608,2.402679443359375,-0.025309443473815918,-0.014719516970217228
65.49961853027344,-28.26533317565918,-70.0802993774414,44.3740348815918,1.5862869024276733,-44.82466125488281,36443,21763,40870,20569,32515,40539,-2.284611701965332,0.14009083807468414,-0.31706008315086365,2.343790292739868,-0.03773629665374756,-0.027322005480527878
69.54850769042969,-28.156356811523438,-74.0285873413086,46.080810546875,0.9997230172157288,-43.201290130615234,58719,47106,17835,42836,53763,60767,-3.204254150390625,0.4257686138153076,-0.3755996823310852,2.294006586074829,-0.03569447994232178,-0.02986007370054722
74.7606430053711,-28.046247482299805,-78.64374542236328,48.454959869384766,0.7740750312805176,-40.681400299072266,22629,14850,55985,7246,27906,24165,-3.2784337997436523,0.47233912348747253,-0.5890708565711975,2.2274553775787354,-0.0253831148147583,-0.018982844427227974
80.20259857177734,-27.950061798095703,-82.95026397705078,50.753875732421875,1.110999584197998,-37.960487365722656,3690,54017,23992,35399,48388,1898,-3.138307809829712,0.3548559546470642,0.5491705536842346,2.1642401218414307,-0.032538414001464844,-0.037034980952739716
85.91513061523438,-27.85681915283203,-87.06358337402344,52.22044372558594,0.7702165246009827,-36.211090087890625,18284,62209,51131,6724,22277,15980,-2.00569224357605,0.20155856013298035,0.3651222586631775,2.1322243213653564,-0.03514683246612549,-0.041733983904123306
90.79098510742188,-27.793439865112305,-90.39427185058594,52.632354736328125,0.6530545949935913,-35.80237579345703,50794,39937,28857,32070,11524,49514,-0.06991177797317505,0.06985694915056229,-0.44174614548683167,2.154292345046997,-0.02850949764251709,-0.0326441265642643
96.61857604980469,-27.734968185424805,-94.46243286132812,51.71458053588867,0.529121458530426,-37.142459869384766,46182,3329,41139,21068,45315,44902,1.5533719062805176,0.0858788713812828,0.09172884374856949,2.2098748683929443,-0.023823976516723633,-0.028851721435785294
101.44721221923828,-27.67836570739746,-97.98774719238281,51.28974914550781,0.7229964137077332,-37.89458465576172,32613,61185,2994,60749,26626,33637,0.675527811050415,0.21179452538490295,0.1034826785326004,2.2255752086639404,-0.023459196090698242,-0.01881210319697857
