m_weather,m_trackTemperature,m_airTemperature,m_totalLaps,m_trackLength,m_sessionType,m_trackId,m_formula,m_sessionTimeLeft,m_sessionDuration,m_pitSpeedLimit,m_gamePaused,m_isSpectating,m_spectatorCarIndex,m_sliProNativeSupport,m_numMarshalZones,m_safetyCarStatus
2,30,21,99,4323,1,17,0,1656,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1656,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1655,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1654,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1654,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1653,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1653,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1652,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1652,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1651,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1651,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1650,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1650,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1649,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1649,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1648,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1648,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1647,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1647,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1646,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1646,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1645,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1645,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1644,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1644,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1643,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1643,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1642,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1642,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1641,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1641,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1640,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1640,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1639,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1639,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1638,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1638,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1637,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1637,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1636,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1636,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1635,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1635,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1634,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1634,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1633,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1633,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1632,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1632,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1631,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1631,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1630,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1630,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1629,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1629,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1628,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1628,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1627,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1627,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1626,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1626,1800,80,0,0,255,0,13,0,0
